trade_id,cutoff,direction,direction_correct,hit_tp,rmse,mae,mfe,mfe_bar,mae_excursion,mae_bar,cum_return,avg_neighbor_distance
1,2024-12-10 14:30:00+00:00,Short,True,N/A,0.0010897491171550817,0.0008719119612224464,0.0023719838106042463,18,-0.003397006252105929,8,-0.0012550552477160698,0.008520012194015453
2,2024-12-11 14:30:00+00:00,Short,False,False,0.0008986095782800958,0.0007295260024291689,4.6283439793484756e-05,0,-0.00627467513486269,19,0.006274675134862692,0.008906466136183814
3,2024-12-12 14:30:00+00:00,Short,False,N/A,0.0009197694419306243,0.0007784995216158512,0.001280964013894834,7,-0.0025800223938323872,17,0.0019931915511137077,0.008417156542990769
4,2024-12-13 14:30:00+00:00,Short,True,True,0.001197586370700545,0.0010141787755475469,0.006311417677704594,19,-0.003374999628400487,1,-0.006311417677704594,0.010512003427816592
5,2024-12-17 14:30:00+00:00,Short,False,N/A,0.0010048259345189247,0.0007901473245107649,0.002173283137456728,10,-0.002712812601219733,1,0.002542768672795146,0.00852952410914599
6,2024-12-18 14:30:00+00:00,Short,False,False,0.0006245664657870396,0.0005202316294365835,-0.0009569923829205382,0,-0.005274837445090312,14,0.0029932475159253746,0.01099724866980553
7,2024-12-19 14:30:00+00:00,Short,True,True,0.0018618991862038975,0.0015155519654861352,0.009282341674591259,18,0.001962845138273873,7,-0.00902624184082043,0.02598103810968872
8,2024-12-20 14:30:00+00:00,Long,True,True,0.0023880032684354506,0.002032771738612513,0.01969466123903117,19,-0.0002947956792510886,2,0.01969466123903117,0.016941878833233587
9,2024-12-27 14:30:00+00:00,Short,True,True,0.0017353916067501488,0.001423533744433801,0.011651872946874996,11,0.0019421610053516817,2,-0.010804302115267372,0.010753278368360627
10,2024-12-31 14:30:00+00:00,Long,False,False,0.0017610089040298125,0.0014760946398593255,-0.0008507316221910946,2,-0.006204776886882744,17,-0.005595449471732998,0.013292831205405928
11,2025-01-03 14:30:00+00:00,Short,False,N/A,0.0015893169348516838,0.001277307662575463,0.00046889470656423526,9,-0.00435022261711496,1,0.0015223911503200508,0.018537476200637608
12,2025-01-07 14:30:00+00:00,Short,True,True,0.0021919446670905355,0.001750920637944307,0.014717301390731491,12,-0.0007009198423204421,1,-0.010840402474143017,0.010937860078770168
13,2025-01-08 14:30:00+00:00,Long,False,False,0.0019159737056127781,0.0015017543904431883,0.0007834654126598042,5,-0.00594859228852436,7,-0.0016390759283410213,0.015428073061106187
14,2025-01-14 14:30:00+00:00,Long,False,False,0.0019077197802929683,0.0016843445913652846,0.001884612523316164,0,-0.008830158366801125,17,-0.0078013270761458755,0.015314960972229235
15,2025-01-15 14:30:00+00:00,Long,True,True,0.0011882678600923333,0.0009724927079487152,0.006702704994002649,8,-0.0005174583502698364,0,0.004329087271276894,0.019960875025318653
16,2025-01-16 14:30:00+00:00,Long,True,N/A,0.0012605493034545106,0.001072176896964443,0.001783456297221079,18,-0.003038024350616314,14,0.0003032954237308094,0.017277969441910058
17,2025-01-17 14:30:00+00:00,Long,True,N/A,0.0010382079912794405,0.0008560988011346886,0.0017845145990363176,16,-0.0023106899966117422,4,0.001761359482912231,0.013267646805181726
18,2025-01-22 14:30:00+00:00,Short,False,N/A,0.0007778023838209347,0.0006551930221060407,0.00012523267678448395,0,-0.003556882560395244,13,0.002069758395283522,0.01149354817849884
19,2025-01-23 14:30:00+00:00,Long,True,N/A,0.0006648226901418031,0.0005319486670747537,0.0019275410437851553,17,-0.0007080778267770519,5,0.001870566505690736,0.00794064854840746
20,2025-01-24 14:30:00+00:00,Long,False,N/A,0.0008419230499489981,0.0006717611750337512,0.0024042017046757166,3,-0.0020572280150654943,17,-0.00107923282708879,0.00825092324868594
21,2025-01-28 14:30:00+00:00,Short,False,False,0.0019409804362797124,0.0016543786282457586,0.003486992118048149,1,-0.009748296947465356,10,0.008932759754547014,0.016704891535824905
22,2025-01-29 14:30:00+00:00,Long,False,N/A,0.001091028644900293,0.0008858701058473671,0.0007774020081837812,6,-0.002952666517902451,13,-0.001824044189840419,0.01276937772175785
23,2025-01-30 14:30:00+00:00,Long,False,True,0.0017916275445517766,0.0014714083384472182,0.0053626851925334534,2,-0.009013883774724863,19,-0.009013883774724864,0.014583347484623898
24,2025-01-31 14:30:00+00:00,Short,False,False,0.0008142359633928223,0.0006477182716293818,0.0005732433116173958,0,-0.006420751188198078,19,0.006420751188198078,0.01445644595158512
25,2025-02-04 14:30:00+00:00,Short,False,False,0.0013630249906029842,0.001040173992966355,-0.002514084847655871,1,-0.009926330402696987,12,0.009568563097658241,0.01789021486490128
26,2025-02-05 14:30:00+00:00,Long,True,N/A,0.0010267419671529286,0.0008513323425032778,0.003671641593997252,18,-0.0013353229691532116,5,0.0026537356161331228,0.010908973188388606
27,2025-02-06 14:30:00+00:00,Long,True,N/A,0.0007846142463804685,0.0005643891605520145,0.0033717561618678985,7,-0.00036768085716178546,14,0.002042760961446989,0.009329183252505167
28,2025-02-07 14:30:00+00:00,Short,True,True,0.0026273360789096393,0.0019449692188873782,0.01368368151849482,15,-0.0003303092977927449,2,-0.012817895590575463,0.009876502099252714
29,2025-02-11 14:30:00+00:00,Long,True,N/A,0.0006599596538268521,0.0004980590196262211,0.004227706325051524,15,0.00016072740666481613,4,0.002923492615259011,0.0088019048206253
30,2025-02-12 14:30:00+00:00,Long,True,True,0.001527910305448255,0.0013138143093858728,0.007291134156171485,12,0.0001273582995914835,7,0.0038021760942816623,0.014040180465251679
