trade_id,cutoff,direction,direction_correct,hit_tp,rmse,mae,mfe,mfe_bar,mae_excursion,mae_bar,cum_return,avg_neighbor_distance
1,2024-10-31 13:30:00+00:00,Long,False,False,0.0013543131143121867,0.0010340882977145016,-0.0006164848231743072,0,-0.012390010974411518,27,-0.010607023687436701,0.0
2,2024-11-01 13:30:00+00:00,Long,True,True,0.0011370483807303176,0.000913733505476251,0.008466444928759465,22,0.0003976933836469129,0,0.006393598465506826,0.0
3,2024-11-05 14:30:00+00:00,Long,True,True,0.0009530048828824999,0.0007795850646731447,0.006411701085401577,28,0.0003339290493644439,1,0.006374828155658815,0.0
4,2024-11-06 14:30:00+00:00,Long,True,N/A,0.0013324333032083227,0.0010301792319293063,0.004021533841534649,24,-0.0030691550089281473,3,0.0035648085538510696,0.0
5,2024-11-07 14:30:00+00:00,Long,True,True,0.0006802084951242312,0.000526519552909305,0.007375389326161622,27,0.0008076681398277959,2,0.00623062355355556,0.0
6,2024-11-08 14:30:00+00:00,Long,False,N/A,0.0007300593403334663,0.0005674207000699937,0.0006480308925120976,27,-0.0021119581211109873,7,-4.714590479773322e-05,0.0
7,2024-11-12 14:30:00+00:00,Long,False,N/A,0.0008829477045679106,0.0006767275444314543,0.0011779813120783356,4,-0.003069261419507806,26,-0.00200575837691112,0.0
8,2024-11-13 14:30:00+00:00,Long,False,N/A,0.0009569149340773976,0.0007533642406247888,0.0004722717539401874,1,-0.0036439825942946045,6,-0.00021259507804393884,0.0
9,2024-11-14 14:30:00+00:00,Long,False,False,0.0010982239729551574,0.0007107384433438646,-0.0009100310865888604,0,-0.005769645481385617,8,-0.0032183663820456667,0.0
10,2024-11-15 14:30:00+00:00,Short,True,True,0.000968354019561004,0.0007429084743934713,0.011594332780919616,29,-0.0004098854789150979,2,-0.01159433278091962,0.0
11,2024-11-19 14:30:00+00:00,Long,True,True,0.0006832601781221609,0.0005451221524760566,0.008067152388949199,26,0.0009495983182528729,5,0.006434716129772324,0.0
12,2024-11-20 14:30:00+00:00,Short,True,True,0.0012684731038886908,0.000969052000500943,0.010343937157108995,8,0.0013037654103628755,27,-0.0019925497333122383,0.0
13,2024-11-21 14:30:00+00:00,Long,False,False,0.0024100939138754665,0.0018879526146506468,-0.0007696841067398703,22,-0.01291011826813525,10,-0.004627016002899419,0.0
14,2024-11-22 14:30:00+00:00,Long,False,N/A,0.0013481614402689715,0.0011228650119869965,0.0014035258387430753,4,-0.004089837656827975,10,-0.00033617885031273094,0.0
15,2024-11-26 14:30:00+00:00,Long,False,N/A,0.0009323790631211759,0.0006809484696219555,0.0012021878884255382,2,-0.0031372481192741223,8,-0.0020386880775716807,0.0
16,2024-11-27 14:30:00+00:00,Long,False,False,0.001017136155076867,0.0008216413630410998,-3.590943640516728e-05,2,-0.009066049014867152,29,-0.009066049014867154,0.0
17,2024-12-03 14:30:00+00:00,Long,True,N/A,0.0005653615181370064,0.0004695001510070543,0.0034646557631544663,22,3.491130995403324e-17,10,0.001651333236775656,0.0
18,2024-12-04 14:30:00+00:00,Long,True,N/A,0.0005575650083922421,0.00042779044501815974,0.003671910544511714,17,-0.0008762552916924319,0,0.003241304955114955,0.0
19,2024-12-05 14:30:00+00:00,Long,False,N/A,0.0006199011588662069,0.0005160622936998753,-0.00026697155750717494,21,-0.0018470443836892704,14,-0.00039467880622822674,0.0
20,2024-12-06 14:30:00+00:00,Long,True,True,0.0006716242264586869,0.0005249035569804605,0.005479656202238836,8,0.00058066615651143,0,0.0036757287027129647,0.0
21,2024-12-10 14:30:00+00:00,Long,False,N/A,0.0009206070705371684,0.0006812082063313433,0.003397006252105929,8,-0.0034202385625905773,25,-0.0020926346922293306,0.0
22,2024-12-11 14:30:00+00:00,Long,True,True,0.000770538520068816,0.0005896960785877844,0.007791289240534855,29,-4.6283439793484756e-05,0,0.007791289240534857,0.0
23,2024-12-12 14:30:00+00:00,Long,True,N/A,0.0006586811349426127,0.0005171441969903189,0.0025800223938323872,17,-0.001280964013894834,7,0.0011756571201986326,0.0
24,2024-12-13 14:30:00+00:00,Long,False,False,0.0012792478498837318,0.0009750313362550904,0.003374999628400487,1,-0.006311417677704594,19,-0.004675133290586551,0.0
25,2024-12-17 14:30:00+00:00,Long,True,N/A,0.0009269060413790652,0.0007296074575317402,0.0036079004418991113,25,-0.002173283137456728,10,0.0003295623101462158,0.0
26,2024-12-18 14:30:00+00:00,Long,True,True,0.0007975912610459834,0.0006876120628132406,0.005274837445090312,14,0.0009569923829205382,0,0.0036975768985361757,0.0
27,2024-12-19 14:30:00+00:00,Long,False,False,0.0016419330810046153,0.0012477278045415238,-0.001962845138273873,7,-0.009282341674591259,18,-0.00574930295973537,0.0
28,2024-12-20 14:30:00+00:00,Long,True,True,0.002202496598191855,0.0017815382628257462,0.02682491888932835,25,-0.0002947956792510886,2,0.024998245510940043,0.0
29,2024-12-27 14:30:00+00:00,Short,True,True,0.001564457059896419,0.0012553917130321381,0.011651872946874996,11,0.0019421610053516817,2,-0.010688252445878408,0.0
30,2024-12-31 14:30:00+00:00,Short,True,True,0.0014533984598026567,0.001172700073007887,0.007659288474426072,24,0.0008507316221910946,2,-0.00626338563249642,0.0
31,2025-01-03 14:30:00+00:00,Short,False,False,0.0014301504900014704,0.0010322086632005923,0.00046889470656423526,9,-0.0071700799971796325,27,0.00699552641751522,0.0
32,2025-01-07 14:30:00+00:00,Short,True,True,0.0018070159907201974,0.0014058336192187733,0.014717301390731491,12,-0.0007009198423204421,1,-0.014192516977612432,0.0
33,2025-01-08 14:30:00+00:00,Short,True,True,0.0016599581691849933,0.0013097303123340632,0.00594859228852436,7,-0.0018232397935373122,25,-0.001147070998366783,0.0
34,2025-01-14 14:30:00+00:00,Short,True,True,0.001620117584674284,0.001391198684231049,0.011899006002394718,28,-0.001884612523316164,0,-0.011610901130229185,0.0
35,2025-01-15 14:30:00+00:00,Short,False,False,0.0011955107798893943,0.0009808579700469995,0.0005174583502698364,0,-0.006702704994002649,8,0.001233762956788864,0.0
36,2025-01-16 14:30:00+00:00,Short,True,N/A,0.0012785155356020105,0.0011395119447476184,0.0038926702221898724,25,-0.001783456297221079,18,-0.0010155425562150312,0.0
37,2025-01-17 14:30:00+00:00,Short,False,N/A,0.0008331939448747653,0.0006591103185029135,0.0023106899966117422,4,-0.0033693651508512426,22,0.0010432848186227625,0.0
38,2025-01-22 14:30:00+00:00,Short,False,False,0.0006160016152931442,0.0004995105041225674,0.00012523267678448395,0,-0.005766452593377232,29,0.005766452593377232,0.0
39,2025-01-23 14:30:00+00:00,Short,False,N/A,0.0006039831848447655,0.0004991422632049251,0.0007080778267770519,5,-0.0029411450619823785,26,0.0011410055777949571,0.0
40,2025-01-24 14:30:00+00:00,Short,True,N/A,0.0006778056753383474,0.0005344688574769603,0.0020572280150654943,17,-0.0024042017046757166,3,-0.0015794829625835707,0.0
